Title,Address,Website,Phone,City
The Bauer Kitchen,"187 King St S #102 , ON N2J 1R1",thebauerkitchen.ca,519-772-0790,Waterloo
Proof Kitchen + Lounge,"110 Erb St W, ON N2L 1T5",proofwaterloo.com,519-208-3333,Waterloo
Wildcraft Grill + Long Bar,"425 King St N, ON N2J 2Z5",wildcraft.ca,519-885-0117,Waterloo
Thirsty's Bar & Grill,"465 Phillip St Unit 12, ON N2L 6C7",thirstyskw.com,519-886-9464,Waterloo
The Chill,"373 Bridge St W #12, ON N2K 3K3",chillbarandgrill.com,519-746-6642,Waterloo
Red House,"30 William St W, ON N2L 1J4",redhouseuptown.ca,226-647-4687,Waterloo
Proof Kitchen + Lounge,"110 Erb St W, ON N2L 1T5",proofwaterloo.com,519-208-3333,Waterloo
Solé Restaurant and Wine Bar,"83 Erb St W Building Two, ON N2L 6C2",sole.ca,519-747-5622,Waterloo
Beertown Public House Waterloo,"75 King St S Unit 37, ON N2J 1P2",beertown.ca,519-885-5151,Waterloo
Princess Cafe,"46 King St N, ON N2J 2W8",princesscafe.ca,519-886-0227,Waterloo
Loloan Lobby Bar,"14 Princess St W, ON N2L 2X8",loloanlobbybar.com,519-883-1010,Waterloo
White Rabbit Public House,"47 King St N, ON N2J 2W9",whiterabbitwaterloo.com,519-746-7540,Waterloo
Famoso Neapolitan Pizzeria - Waterloo,"15 King St S, ON N2J 1N9",famoso.ca,519-954-1900,Waterloo
The WORKS Craft Burgers & Beer,"92 King St S, ON N2J 1P5",worksburger.com,519-885-6000,Waterloo
Seven Shores,"10 Regina St N, ON N2J 2Z7",sevenshores.ca,519-342-0916,Waterloo
Copper Branch,"80 King St S #106, ON N2J 1P5",eatcopperbranch.com,519-208-5885,Waterloo
Angie's Waterloo,"47 Erb St W, ON N2L 1S8",angieswaterloo.com,519-954-8500,Waterloo
Watami Sushi,"14 King St N, ON N2J 2W7",watami-sushi.com,519-954-8899,Waterloo
The Lion Brewery Restaurant,"59 King St N, ON N2J 2X2",huetherhotel.com,519-886-3350,Waterloo
Taco Farm,"8 Erb St W, ON N2L 1S7",tacofarm.ca,519-208-1300,Waterloo
houseofpatties,"42 Bridgeport Rd E, ON N2J 0B3",houseofpatties.com,226-647-1727,Waterloo
Abe Erb Brewing Company - Waterloo,"15 King St S, ON N2J 1N9",abeerb.com,519-208-0858,Waterloo
Famoso Neapolitan Pizzeria - Waterloo,"15 King St S, ON N2J 1N9",famoso.ca,519-954-1900,Waterloo
Fratello Pizza,"84 King St N, ON N2J 2X4",fratello-pizza.com,519-886-7278,Waterloo
Gino's Pizza,"253 King St N Unit 2, ON N2J 2Y8",ginospizza.ca,519-747-4466,Waterloo
Figaro's Pizza,"90 Weber St N, ON N2J 3G8",figaropizza.ca,519-725-2002,Waterloo
Maestro's Pizza,"370 Eastbridge Blvd, ON N2K 3Z1",maestrospizzawaterloo.com,519-888-6662,Waterloo
Gourmet Pizza Cafe,"75 King St S #59, ON N2J 1P2",gourmetpizzacafe.ca,519-886-4545,Waterloo
Masala Bay,"3B Regina St N, ON N2J 2W7",masalabay.com,519-747-2763,Waterloo
21 Fir Whiskey Bar + Kitchen,"100 King St S, ON N2J 1P5",21fir.com,519-208-1347,Waterloo
Freshii,"110 King St S Unit A, ON N2J 1P5",freshii.com,226-215-3148,Waterloo
Café 22,"22 King St S, ON N2J 1N8",cafe22-winebar.com,519-603-5005,Waterloo
Score Pizza,"80 King St S, ON N2J 1P5",scorepizza.ca,519-208-5030,Waterloo
Hungry Ninja,"55 Erb St E, ON N2J 1L7",hungryninja.ca,519-222-6891,Waterloo
McCabe's Irish Pub & Grill,"44 King St S, ON N2J 1N8",mccabeswaterloo.com,226-647-5321,Waterloo
Jinzakaya,"75 King St S unit 53, ON N2J 1P2",jinzakaya.ca,519-880-8188,Waterloo
Exotica Fusion kitchen & Cafe,"130 Columbia St W #813, ON N2L 0G6",exoticacafe.ca,226-476-1779,Waterloo
Hungry Ninja,"55 Erb St E, ON N2J 1L7",hungryninja.ca,519-222-6891,Waterloo
Owl of Minerva (Waterloo),"2 King St N, ON N2J 2W7",owlfamily.ca,519-886-7275,Waterloo
Craft Chippery,"94 King St S, ON N2J 1P5",craftchippery.com,226-240-2976,Waterloo
Bhima's Warung,"262 King St N, ON N2J 2Y8",bhimaswarung.com,519-747-0722,Waterloo
Ethel's Lounge,"114 King St N, ON N2J 2X5",ethelslounge.com,519-725-2361,Waterloo
